73,"Orellana López, Guillermo",http://ucuenca.edu.ec/resource/author/guillermo-orellana-lópez,http://ucuenca.edu.ec/wkhuska/publication/glow-discharge-atomic-spectrometry-for-the-analysis-of-environmental-samples-review,Glow discharge atomic spectrometry for the analysis of environmental samples ? a review,
74,"Pérez G. , Alvaro",http://ucuenca.edu.ec/resource/author/alvaro-pérez-g,http://ucuenca.edu.ec/wkhuska/publication/star-contours-for-efficient-hierarchical-self-collision-detection,Star-contours for efficient hierarchical self-collision detection,
75,"Ordóñez Cuesta, María del Carmen",http://ucuenca.edu.ec/resource/author/maría-del-carmen-ordóñez-cuesta,http://ucuenca.edu.ec/wkhuska/publication/simple-sequence-repeat-diversity-of-world-wide-collection-of-puccinia-triticina-from-durum-wheat,Simple sequence repeat diversity of a worldwide collection of Puccinia triticina from durum wheat,
76,"Orellana López, Guillermo",http://ucuenca.edu.ec/resource/author/guillermo-orellana-lópez,http://ucuenca.edu.ec/wkhuska/publication/sup-99-ru-nmr-spectroscopy-of-polypyridyl-complexes,sup 99 Ru NMR spectroscopy of ruthenium(II) polypyridyl complexes,
77,"Feyen, Jan",http://ucuenca.edu.ec/resource/author/jan-feyen,http://ucuenca.edu.ec/wkhuska/publication/improving-the-predictions-of-mike-she-catchment-scale-application-by-using-multi-criteria-approach,"Improving the predictions of a MIKE SHE catchment-scale application by using a multi-criteria approach""@e",
78,"Feyen, Jan",http://ucuenca.edu.ec/resource/author/jan-feyen,http://ucuenca.edu.ec/wkhuska/publication/modeling-of-soil-hydraulic-processes-and-base-flow-in,"Modeling of Soil hydraulic processes and base flow in flanders""@e",
79,"Márquez Moreno, Rafael",http://ucuenca.edu.ec/resource/author/rafael-márquez-moreno,http://ucuenca.edu.ec/wkhuska/publication/intensity-of-female-preference-quantified-through-playback-call-frequency-versus-call-rate-in-midwife-toads,Intensity of female preference quantified through playback setpoints: call frequency versus call rate in midwife toads,
80,"Márquez Moreno, Rafael",http://ucuenca.edu.ec/resource/author/rafael-márquez-moreno,http://ucuenca.edu.ec/wkhuska/publication/kinetic-roughening-and-pinning-of-coupled-precursor-and-impregnation-fronts-in-porous-media,RETRACTED: Kinetic roughening and pinning of coupled precursor and impregnation fronts in porous media,
81,"Piedra Alvarado, Jorge Luis",http://ucuenca.edu.ec/resource/author/jorge-luis-piedra-alvarado,http://ucuenca.edu.ec/wkhuska/publication/preemergence-infection-of-potato-sprouts-by-phytophthora-infestans-in-the-highland-tropics-of,"Preemergence infection of potato sprouts by Phytophthora infestans in the highland tropics of Ecuador""@e",
82,"Ramírez Tenorio, Marco Enrique",http://ucuenca.edu.ec/resource/author/marco-enrique-ramírez-tenorio,http://ucuenca.edu.ec/wkhuska/publication/forest-impact-on-floods-due-to-extreme-rainfall-and-snowmelt-in-four-latin-american-environments-model-analysis,"Forest impact on floods due to extreme rainfall and snowmelt in four Latin American environments 2: Model analysis""@e",
83,"Goethals, Peter L. M",http://ucuenca.edu.ec/resource/author/peter-l-m-goethals,http://ucuenca.edu.ec/wkhuska/publication/evaluation-and-comparison-of-data-driven-and-knowledge-supported-bayesian-belief-networks-to-assess-the-habitat-suitability-for-alien,"Evaluation and comparison of data-driven and knowledge-supported Bayesian Belief Networks to assess the habitat suitability for alien macroinvertebrates""@e",
84,"Mera Robalino, David",http://ucuenca.edu.ec/resource/author/david-mera-robalino,http://ucuenca.edu.ec/wkhuska/publication/the-impact-of-cardiac-resynchronization-therapy-on-ventricular-an-analysis-from-the-combined-contak-cd-and-insync-icd-studies,The Impact of Cardiac Resynchronization Therapy on Ventricular Tachycardia/Fibrillation: An Analysis from the Combined Contak-CD and InSync-ICD Studies,
85,"Argudo, Rafael",http://ucuenca.edu.ec/resource/author/rafael-argudo,http://ucuenca.edu.ec/wkhuska/publication/domain-interactions-on-the-ntr-signal-transduction-two-hybrid-analysis-of-mutant-and-truncated-derivatives-of-histidine-kinase-ntrb,Domain Interactions on the ntr Signal Transduction Pathway: Two-Hybrid Analysis of Mutant and Truncated Derivatives of Histidine Kinase NtrB,
86,"Pérez G. , Alvaro",http://ucuenca.edu.ec/resource/author/alvaro-pérez-g,http://ucuenca.edu.ec/wkhuska/publication/measurement-of-the-top-quark-pair-production-cross-section-in-the-channel-in-proton-antiproton-collisions-at,Measurement of the top quark pair production cross section in the lepton+jets channel in proton-antiproton collisions at s=1.96TeV,
87,"Mera Robalino, David",http://ucuenca.edu.ec/resource/author/david-mera-robalino,http://ucuenca.edu.ec/wkhuska/publication/review-of-recent-and-planned-remote-column-integrated-carbon-dioxide-technique-improvements-and-campaign-results-conducted-at-jpl-to-further-the-development-of-the-ascends-mission,A review of recent and planned remote column integrated Carbon Dioxide measurements; technique improvements and campaign results conducted at JPL to further the development of the ASCENDS mission,
88,"Piña León, Fernando",http://ucuenca.edu.ec/resource/author/fernando-piña-león,http://ucuenca.edu.ec/wkhuska/publication/anthocyanins-and-derivatives-are-more-than-flavylium,"Anthocyanins and derivatives are more than flavylium cations""@e",
89,"Ordóñez Cuesta, María del Carmen",http://ucuenca.edu.ec/resource/author/maría-del-carmen-ordóñez-cuesta,http://ucuenca.edu.ec/wkhuska/publication/genetic-differentiation-of-puccinia-triticina-populations-in-central-asia-and-the,"Genetic differentiation of Puccinia triticina populations in Central Asia and the Caucasus""@e",
